위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.447563,126.300273,주차장 시작점,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.44776802,126.300382,남당수(용천수),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.44723702,126.299941,'갑자기 히어로즈' 벽화,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.44690703,126.299067,비단교 입구,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.44661199,126.298888,오르막구간,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.44639297,126.298694,다리 끝 / 내리막구간,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.44619901,126.2987,다리끝부터 내리막,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.44626699,126.298014,양식장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.44697501,126.296833,마을어장 안내판(올레리본),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.44666697,126.296676,청호사,특이사항없음,특이사항없음,Y,정상,2020-12-22
