위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.473104,126.350143,시작,고내리 포구 공터,특이사항없음,Y,정상,2020-12-22
33.472875,126.350699,숨비기 꽃무리,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.472976,126.351565,턱,6cm,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.47308204,126.351725,테우. 용천수(반달 용천수),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.47371403,126.352126,굴러온 돌,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.47410002,126.352348,독수리 바위,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.47485397,126.352403,오르막길,경사구간 : 52m / 7˚,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.47526804,126.352652,계단 앞,50개 이상,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.47541698,126.352653,반환점 '돌 해안',특이사항없음,특이사항없음,Y,정상,2020-12-22
33.47404696,126.351314,빨간등대 반환점,특이사항없음,특이사항없음,Y,정상,2020-12-22
