위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.239122,126.607282,보목어촌 화장실,장애인 공용. 일반 구분 화장실,장애인화장실,Y,정상,2020-12-22
33.23955098,126.608048,보목포구 시작,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.24042798,126.609503,´오르바´ 카페,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.24105402,126.611696,내리막 경사로 시작,인도가 따로 없어 차도를 지나므로 차량의 통행 주의 요망,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.24111404,126.612161,내리막 경사로 끝,인도가 따로 없어 차도를 지나므로 차량의 통행 주의 요망,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.24117799,126.612949,오르막 경사로 시작,인도가 따로 없어 차도를 지나므로 차량의 통행 주의 요망,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.24110004,126.613118,오르막 경사로 끝,인도가 따로 없어 차도를 지나므로 차량의 통행 주의 요망,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.241193,126.614006,쉼터,바다 전망이 좋음,특이사항없음,Y,정상,2020-12-22
33.24189297,126.616209,´맹지미/명지미´ 비석,검은돌과 짙푸른 바다가 인상적임,특이사항없음,Y,정상,2020-12-22
33.242086,126.616348,하효마을 표지석 쉼터(반환점),옛 생활모습 사진 전시되어 있음,특이사항없음,Y,정상,2020-12-22
33.24223302,126.616753,삼거리(좌측 방향으로 회전점),섶섬과 지귀도가 보이는 풍경,특이사항없음,Y,정상,2020-12-22
