위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.370409,126.206872,주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.36996996,126.20654,공원 출입구,틈이 꽉메워진 보도블록길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.37006199,126.206309,전망대카페,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.37051998,126.206049,야자나무 쉼터,우레탄길,특이사항없음,Y,정상,2020-12-22
33.37118399,126.206062,파고라 정자,우레탄길,특이사항없음,Y,정상,2020-12-22
33.37071301,126.206719,우레탄 포장길 종료,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.37054596,126.206588,장애인 화장실. 해거름공원 놀이간판 앞(보도블록),편편한 잔디길로 이동 가능,장애인화장실,Y,정상,2020-12-22
33.37001204,126.206527,종료,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.36996702,126.206565,해거름공원 바다산책로 시작,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.36958598,126.206347,갈림길(해안길 진입로),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.36975798,126.206038,내리막구간,시멘트길,특이사항없음,Y,정상,2020-12-22
33.37136898,126.205892,뷰포인트(비양도 조망),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.37179,126.206341,오르막 시작,경사구간 : 52m. 5°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.37214297,126.206733,오르막 종료,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.372782,126.207532,좁아지는 구간,폭 300cm (이전 폭 490cm),특이사항없음,Y,정상,2020-12-22
33.372063,126.208479,일반도로 합류지점,하수처리장 끼고 도는 구간,특이사항없음,Y,정상,2020-12-22
33.37050699,126.206914,주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.36995303,126.206552,종료,특이사항없음,특이사항없음,Y,정상,2020-12-22
