위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.54593997,126.688866,너븐숭이 4.3기념관 입구,턱2cm,특이사항없음,Y,정상,2020-12-22
33.54594701,126.68896,애기무덤,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54634901,126.689159,위령비,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54630601,126.689174,계단10개,계단 오르면 정자. 빌레 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54624901,126.689208,돌길,정자 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.54616201,126.689331,돌계단6개,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54618397,126.68951,순이삼촌 문학비,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54620601,126.689724,옴팡밭,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54623501,126.689714,나무데크길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54627198,126.689591,오르막,데크길 중 오르막과 끝,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54625303,126.689428,오르막,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54587601,126.688806,너븐숭이 4.3기념관,주차장,특이사항없음,Y,정상,2020-12-22
33.54645596,126.688111,바다가 보이는 콩밭,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54765197,126.686165,서우봉 가는 길이정표,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54801499,126.685679,오르막 시작,사거리에서 좌회전 돌면서 올라가야함,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54804098,126.685473,오르막 끝,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54808398,126.68519,송덕 기념비,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.54805104,126.684977,내리막길 시작/끌,퐁낭 앞길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54795003,126.68484,내리막길 시작/끌,퐁낭 앞길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.54796504,126.684741,비상벨,방범용cctv,특이사항없음,N,정상,2020-12-22
33.548188,126.684308,해동포구 공터,특이사항없음,특이사항없음,N,정상,2020-12-22
